Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed
1927972279,5/1/2016,2704,1.870000005,1.870000005,0,1.00999999,0.029999999,0.829999983,0,14,1,70,1355,2411,1,302,321
1927972279,5/2/2016,3790,2.619999886,2.619999886,0,1.159999967,0.300000012,1.159999967,0,16,8,94,1322,2505,1,499,526
1927972279,5/3/2016,1326,0.920000017,0.920000017,0,0.730000019,0,0.180000007,0,10,0,17,1413,2195,2,426,448
1927972279,5/4/2016,1786,1.24000001,1.24000001,0,0,0,1.24000001,0,0,0,87,1353,2338,2,619,641
1927972279,5/5/2016,0,0,0,0,0,0,0,0,0,0,0,1440,2063,1,99,104
1927972279,5/6/2016,2091,1.450000048,1.450000048,0,0,0,1.450000048,0,0,0,108,1332,2383,1,329,338
1927972279,5/7/2016,1510,1.039999962,1.039999962,0,0,0,1.039999962,0,0,0,48,1392,2229,1,421,451
1927972279,5/8/2016,0,0,0,0,0,0,0,0,0,0,0,1440,2063,1,442,458
1927972279,5/9/2016,0,0,0,0,0,0,0,0,0,0,0,1440,2063,1,82,85
1927972279,5/10/2016,0,0,0,0,0,0,0,0,0,0,0,1440,2063,1,478,501
1927972279,5/11/2016,0,0,0,0,0,0,0,0,0,0,0,1440,2063,3,552,595
1927972279,5/12/2016,0,0,0,0,0,0,0,0,0,0,0,966,1383,1,319,346
2022484408,4/12/2016,11875,8.340000153,8.340000153,0,3.309999943,0.769999981,4.260000229,0,42,14,227,1157,2390,1,439,500
2022484408,4/13/2016,12024,8.5,8.5,0,2.99000001,0.100000001,5.409999847,0,43,5,292,1100,2601,1,428,458
2022484408,4/14/2016,10690,7.5,7.5,0,2.480000019,0.209999993,4.820000172,0,32,3,257,1148,2312,2,409,430
2022484408,4/15/2016,11034,8.029999733,8.029999733,0,1.940000057,0.310000002,5.78000021,0,27,9,282,1122,2525,1,547,597
